Inicio da Semana,Chamados
11-09-22,12
04-09-22,5
28-08-22,5
21-08-22,6
14-08-22,4
07-08-22,4
31-07-22,5
24-07-22,15
17-07-22,8
10-07-22,14
03-07-22,9
26-06-22,11
19-06-22,4
12-06-22,6
05-06-22,4
29-05-22,2
22-05-22,3
15-05-22,10
08-05-22,4
01-05-22,10
24-04-22,3
17-04-22,9
10-04-22,5
03-04-22,6
27-03-22,16
20-03-22,7
13-03-22,6
06-03-22,18
27-02-22,6
20-02-22,10
13-02-22,2
06-02-22,1
30-01-22,4
23-01-22,3
16-01-22,3
02-01-22,2
19-12-21,2
12-12-21,4
05-12-21,2
28-11-21,2
21-11-21,5
14-11-21,7
07-11-21,4
31-10-21,1
24-10-21,5
17-10-21,4
10-10-21,3
03-10-21,3
26-09-21,4
19-09-21,7
12-09-21,4
05-09-21,2
29-08-21,1
22-08-21,1
15-08-21,6
01-08-21,3
25-07-21,2
18-07-21,1
11-07-21,5
04-07-21,2
06-06-21,2
30-05-21,1
16-05-21,1
02-05-21,1
18-04-21,1
11-04-21,3
28-03-21,1
21-03-21,1
07-03-21,2
28-02-21,2
21-02-21,1
14-02-21,3
07-02-21,1
31-01-21,1
24-01-21,2
17-01-21,2
29-11-20,4
22-11-20,1
15-11-20,2
08-11-20,1
01-11-20,1
18-10-20,1
11-10-20,1
04-10-20,3
27-09-20,2
06-09-20,2
16-08-20,2
09-08-20,2
26-07-20,1
12-07-20,1
28-06-20,1
07-06-20,1
31-05-20,1
24-05-20,1
10-05-20,1
08-03-20,9
01-03-20,6
23-02-20,1
16-02-20,3
09-02-20,4
02-02-20,2
26-01-20,1
19-01-20,1
12-01-20,1
05-01-20,3
29-12-19,1
22-12-19,1
15-12-19,3
08-12-19,5
01-12-19,1
24-11-19,4
17-11-19,5
10-11-19,6
03-11-19,3
27-10-19,4
13-10-19,10
06-10-19,5
29-09-19,2
22-09-19,3
15-09-19,9
08-09-19,4
01-09-19,9
25-08-19,16
18-08-19,8
11-08-19,9
04-08-19,5
28-07-19,4
21-07-19,49
14-07-19,4
07-07-19,5
30-06-19,7
23-06-19,5
16-06-19,3
09-06-19,10
02-06-19,11
26-05-19,16
19-05-19,9
12-05-19,5
05-05-19,13
28-04-19,12
21-04-19,1
07-04-19,6
31-03-19,14
24-03-19,7
17-03-19,8
10-03-19,6
03-03-19,8
24-02-19,5
17-02-19,6
10-02-19,3
03-02-19,1
27-01-19,6
20-01-19,1
13-01-19,5
16-12-18,2
02-12-18,2
25-11-18,3
18-11-18,5
11-11-18,3
04-11-18,4
28-10-18,4
21-10-18,4
14-10-18,2
07-10-18,2
30-09-18,5
23-09-18,5
16-09-18,5
09-09-18,10
02-09-18,5
26-08-18,9
19-08-18,5
12-08-18,8
05-08-18,4
29-07-18,6
22-07-18,4
15-07-18,4
08-07-18,5
01-07-18,5
24-06-18,6
17-06-18,7
10-06-18,2
03-06-18,2
27-05-18,1
20-05-18,5
13-05-18,11
06-05-18,6
29-04-18,4
22-04-18,1
15-04-18,4
08-04-18,1
01-04-18,4
25-03-18,14
18-03-18,9
11-03-18,7
04-03-18,3
25-02-18,5
18-02-18,2
11-02-18,4
04-02-18,2
21-01-18,1
14-01-18,5
07-01-18,2
31-12-17,4
24-12-17,1
17-12-17,4
10-12-17,1
03-12-17,1
26-11-17,2
19-11-17,5
12-11-17,5
05-11-17,1
22-10-17,4
15-10-17,1
08-10-17,1
01-10-17,4
17-09-17,1
10-09-17,5
03-09-17,5
27-08-17,4
20-08-17,2
13-08-17,2
06-08-17,1
09-07-17,2
02-07-17,1
18-06-17,1
11-06-17,2
04-06-17,1
28-05-17,2
21-05-17,2
14-05-17,5
07-05-17,1
23-04-17,1
16-04-17,1
09-04-17,1
02-04-17,2
26-03-17,2
19-03-17,1
05-03-17,1
26-02-17,2
19-02-17,1
12-02-17,3
23-10-16,1
28-08-16,2
21-08-16,2
07-08-16,1
26-06-16,1
