Serviço,Data,Chamados
Redes::Suporte especializado em redes,01/09/2022,1
Redes::Acesso externo,01/09/2022,6
Redes::Internet cabeada,01/09/2022,2
Redes::Acesso externo,01/08/2022,16
Redes::Internet cabeada,01/08/2022,6
Redes::Suporte especializado em redes,01/08/2022,1
Redes::Internet sem fio (WiFi),01/08/2022,1
Redes::Acesso externo,01/07/2022,10
Redes::Internet cabeada,01/07/2022,2
Redes::Suporte especializado em redes,01/07/2022,1
Redes::Internet sem fio (WiFi),01/07/2022,1
Redes::Acesso externo,01/06/2022,19
Redes::Suporte especializado em redes,01/06/2022,2
Redes::Internet cabeada,01/06/2022,1
Redes::Acesso externo,01/05/2022,21
Redes::Suporte especializado em redes,01/05/2022,4
Redes::Internet cabeada,01/05/2022,3
Redes::Internet cabeada,01/04/2022,2
Redes::Acesso externo,01/04/2022,10
Redes::Suporte especializado em redes,01/04/2022,3
Redes::Acesso externo,01/03/2022,11
Redes::Internet cabeada,01/03/2022,5
Redes::Suporte especializado em redes,01/03/2022,3
Redes::Internet cabeada,01/02/2022,2
Redes::Acesso externo,01/02/2022,3
Redes::Suporte especializado em redes,01/02/2022,1
Redes::Acesso externo,01/01/2022,9
Redes::Internet cabeada,01/01/2022,2
Redes::Suporte especializado em redes,01/01/2022,1
Redes::Acesso externo,01/12/2021,10
Redes::Suporte especializado em redes,01/12/2021,4
Redes::Acesso externo,01/11/2021,11
Redes::Internet cabeada,01/11/2021,1
Redes::Suporte especializado em redes,01/11/2021,2
Redes::Internet cabeada,01/10/2021,2
Redes::Suporte especializado em redes,01/10/2021,2
Redes::Acesso externo,01/10/2021,1
Redes::Internet sem fio (WiFi),01/09/2021,2
Redes::Acesso externo,01/09/2021,2
Redes::Acesso externo,01/08/2021,8
Redes::Acesso externo,01/07/2021,6
Redes::Suporte especializado em redes,01/07/2021,2
Redes::Internet cabeada,01/07/2021,1
Redes::Acesso externo,01/06/2021,11
Redes::Acesso externo,01/05/2021,7
Redes::Suporte especializado em redes,01/05/2021,2
Redes::Internet cabeada,01/05/2021,2
Redes::Acesso externo,01/04/2021,11
Redes::Suporte especializado em redes,01/04/2021,1
Redes::Internet cabeada,01/04/2021,1
Redes::Suporte especializado em redes,01/03/2021,6
Redes::Acesso externo,01/03/2021,16
